0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
823.9,751.4,798.7,626.7,606.5,1028.8,944.5,781.2,771.7,1066.1,1219.6,1143.5,755.0,967.8,138.6
794.2,728.8,540.4,668.1,1013.0,1080.8,996.5,833.2,746.2,1437.5,1544.1,1468.0,496.7,1374.3,763.6
985.4,912.9,655.1,436.9,724.5,827.9,754.7,591.4,581.9,891.9,1381.1,1305.0,725.2,797.3,311.7
882.8,709.9,627.7,718.0,812.6,1120.1,1035.8,872.5,833.5,1272.2,1343.7,1267.6,584.0,1173.9,563.2
1582.8,1510.3,927.8,709.6,813.8,571.4,516.8,562.4,735.2,222.1,1848.5,1656.9,987.7,310.9,952.6
852.4,1053.9,1440.9,1301.5,780.2,1703.6,1619.3,1456.0,1446.5,1527.3,557.8,366.2,1397.2,1429.0,1062.9
1101.2,1028.7,703.6,485.4,913.1,567.3,512.7,415.9,630.4,776.1,1496.9,1420.8,773.7,864.9,626.5
1374.6,1309.2,359.8,537.5,1297.6,1093.4,1009.1,845.8,615.6,1450.1,1828.7,1752.6,369.8,1538.9,1048.2
1071.3,998.8,838.4,620.2,604.9,1001.3,938.0,774.7,765.2,918.2,1358.0,1203.3,908.5,819.9,253.4
1292.0,1235.8,1148.4,930.2,453.4,1144.1,1089.5,1084.7,1075.2,676.1,1517.1,1292.6,1218.5,581.3,621.2
1086.2,1013.7,718.0,499.8,954.6,685.6,631.0,445.6,644.8,894.4,1481.9,1405.8,788.1,952.2,692.1
917.0,844.5,885.0,666.8,523.5,1033.8,979.2,821.3,811.8,836.8,1276.6,1121.9,952.6,738.5,191.2
896.3,823.8,887.8,669.6,493.1,1036.6,982.0,824.1,814.6,839.6,1279.4,1124.7,947.6,741.3,264.8
861.6,796.2,709.7,837.4,1182.3,1250.1,1165.8,1002.5,915.5,1606.8,1659.5,1630.1,666.0,1543.6,932.9
1261.9,1196.5,161.3,313.0,1184.9,869.3,785.0,621.7,391.1,1226.0,1716.0,1639.9,276.3,1314.8,935.5
1096.8,1024.3,818.0,599.8,580.7,974.0,917.6,754.3,744.8,894.0,1333.8,1179.1,888.1,795.7,278.9
1372.9,1316.7,977.7,759.5,563.3,827.6,773.0,818.6,904.5,539.7,1598.0,1406.4,1047.8,441.4,702.1
1143.5,1284.6,1960.7,1821.3,1573.7,2223.4,2139.1,1975.8,1966.3,2320.8,1447.4,1400.8,1917.0,2222.5,1693.6
1173.7,1108.3,118.0,188.5,1096.7,744.8,660.5,497.2,266.6,1101.5,1627.8,1551.7,188.1,1190.3,847.3
443.9,621.6,1347.3,1271.6,1024.0,1673.7,1589.4,1426.1,1416.6,1771.1,897.7,851.1,1303.6,1672.8,1143.9
839.6,767.1,934.6,758.1,453.8,1125.1,1070.5,912.6,903.1,928.1,1235.3,1127.9,890.9,829.8,261.3
1067.7,1269.2,1656.2,1516.8,864.7,1916.5,1834.6,1671.3,1661.8,1611.8,817.3,227.0,1612.5,1513.5,1147.4
1233.6,1161.1,999.6,781.4,485.2,1133.4,1078.8,935.9,926.4,725.3,1442.4,1287.7,1069.7,627.0,546.5
886.4,813.9,920.4,702.2,467.2,1069.2,1014.6,856.7,847.2,872.2,1261.4,1106.7,937.7,773.9,297.4
1041.4,1242.9,1629.9,1490.5,947.8,1892.6,1808.3,1645.0,1635.5,1694.9,791.0,200.7,1586.2,1596.6,1230.5
665.6,583.6,1044.5,1103.5,1129.5,1505.6,1421.3,1258.0,1248.5,1644.5,1463.5,1434.1,1000.8,1546.2,931.9
