id,source,type,state,priority,gravity,class,object,latitude,longitude,location,broker_id,implicated,address,zone_id,orient,incident_time,incident_day,incident_weekday,incident_hour,implicated_type,injured_count,dead_count
67530,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.6314697265625,-74.08118438720703,Teusaquillo,,2.0,Calle 29 A BIS Carrera 33,Zona 1,Sin orientación,2022-05-24 07:37:00,24,1,7,Automóvil,0.0,0.0
67530,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.6314697265625,-74.08118438720703,Teusaquillo,,2.0,Calle 29 A BIS Carrera 33,Zona 1,Sin orientación,2022-05-24 07:37:00,24,1,7,Motocicleta,0.0,0.0
67531,Semaforización,Mantenimiento preventivo,Cerrado,2,,Semaforización,,4.619850158691406,-74.15668487548828,Kennedy,,,TV 78K X CL 41 S,Zona 2,Sin orientación,2022-05-24 07:29:00,24,1,7,,,
67532,Semaforización,Mantenimiento preventivo,Cerrado,1,,Semaforización,,4.7217116355896,-74.07491302490234,Suba,Av Boyacá NS,,TV 76 X AV BOYACA (CONECTANTE E-S),Zona 1,Sin orientación,2022-05-24 07:27:00,24,1,7,,,
67533,Semaforización,Falla de energía,Cerrado,1,,Semaforización,,4.710029602050781,-74.09452819824219,Engativa,Av Ciudad de Cali NS,,AK 86 X AC 90,Zona 1,Sin orientación,2022-05-24 08:03:00,24,1,8,,,
67534,TMSA,Choque,Cerrado,2,Simple,Siniestro,,4.6885762214660645,-74.11844635009766,Engativa,,2.0,Av. Mutis  Transversal 93,Zona 1,Occidente - Oriente,2022-05-24 07:51:00,24,1,7,Automóvil,0.0,0.0
67534,TMSA,Choque,Cerrado,2,Simple,Siniestro,,4.6885762214660645,-74.11844635009766,Engativa,,2.0,Av. Mutis  Transversal 93,Zona 1,Occidente - Oriente,2022-05-24 07:51:00,24,1,7,Motocicleta,0.0,0.0
67535,Waze,Choque,Cerrado,1,Simple,Siniestro,,4.702818393707275,-74.05419158935547,Usaquen,Autopista norte SN,2.0,Autonorte  Calle 122,Zona 1,Sur - Norte,2022-05-24 07:58:00,24,1,7,Camioneta,0.0,0.0
67535,Waze,Choque,Cerrado,1,Simple,Siniestro,,4.702818393707275,-74.05419158935547,Usaquen,Autopista norte SN,2.0,Autonorte  Calle 122,Zona 1,Sur - Norte,2022-05-24 07:58:00,24,1,7,Automóvil,0.0,0.0
67536,Waze,Autolesiones,Cerrado,1,Con lesionado,Siniestro,,4.635875225067139,-74.1160888671875,Puente Aranda,Av Centenario (Calle 13) EW,1.0,Av Centenario Carrera 65b,Zona 2,Oriente - Occidente,2022-05-24 07:10:00,24,1,7,Motocicleta,0.0,0.0
67537,Gogev,,Cerrado,1,,Varado,,4.622194766998291,-74.0853500366211,Puente Aranda,NQS NS,1.0,NQS  Calle 22b,Zona 2,Norte - sur,2022-05-24 07:37:00,24,1,7,Automóvil,0.0,0.0
67538,NUSE,Choque,Cerrado,1,Con lesionado,Siniestro,,4.6396803855896,-74.11571502685547,Puente Aranda,Av Carrera 68 SN,2.0,Calle 17 Carrera 68 ,Zona 2,Occidente - Oriente,2022-05-24 07:13:00,24,1,7,Motocicleta,0.0,0.0
67538,NUSE,Choque,Cerrado,1,Con lesionado,Siniestro,,4.6396803855896,-74.11571502685547,Puente Aranda,Av Carrera 68 SN,2.0,Calle 17 Carrera 68 ,Zona 2,Occidente - Oriente,2022-05-24 07:13:00,24,1,7,Motocicleta,0.0,0.0
67539,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.651166915893555,-74.13799285888672,Kennedy,,2.0,Calle 13 Carrera 80 C,Zona 2,Sin orientación,2022-05-24 07:32:00,24,1,7,Motocicleta,0.0,0.0
67539,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.651166915893555,-74.13799285888672,Kennedy,,2.0,Calle 13 Carrera 80 C,Zona 2,Sin orientación,2022-05-24 07:32:00,24,1,7,Motocicleta,0.0,0.0
67540,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.741978645324707,-74.1233139038086,Suba,,2.0,Carrera 153 Calle 132,Zona 1,Sur - Norte,2022-05-24 07:45:00,24,1,7,Bus,0.0,0.0
67540,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.741978645324707,-74.1233139038086,Suba,,2.0,Carrera 153 Calle 132,Zona 1,Sur - Norte,2022-05-24 07:45:00,24,1,7,Bicicleta,0.0,0.0
67541,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.5851922035217285,-74.104248046875,Antonio Nariño,,2.0,Carrera 24 Calle 20 SUR,Zona 2,Sur - Norte,2022-05-24 07:35:00,24,1,7,Motocicleta,0.0,0.0
67541,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.5851922035217285,-74.104248046875,Antonio Nariño,,2.0,Carrera 24 Calle 20 SUR,Zona 2,Sur - Norte,2022-05-24 07:35:00,24,1,7,Bicicleta,0.0,0.0
67542,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.63193416595459,-74.11687469482422,Puente Aranda,,2.0,Carrera 65 Calle 11,Zona 2,Sur - Norte,2022-05-24 07:38:00,24,1,7,Automóvil,0.0,0.0
67542,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.63193416595459,-74.11687469482422,Puente Aranda,,2.0,Carrera 65 Calle 11,Zona 2,Sur - Norte,2022-05-24 07:38:00,24,1,7,Motocicleta,0.0,0.0
67543,NUSE,Choque,Cerrado,1,Con lesionado,Siniestro,,4.7032575607299805,-74.10112762451172,Engativa,Av Calle 80 EW,2.0,Calle 80  Av. Cali ,Zona 1,Oriente - Occidente,2022-05-24 07:55:00,24,1,7,Camioneta,0.0,0.0
67543,NUSE,Choque,Cerrado,1,Con lesionado,Siniestro,,4.7032575607299805,-74.10112762451172,Engativa,Av Calle 80 EW,2.0,Calle 80  Av. Cali ,Zona 1,Oriente - Occidente,2022-05-24 07:55:00,24,1,7,Bicicleta,0.0,0.0
67544,PONAL tránsito,Choque,Cerrado,2,Simple,Siniestro,,4.698801040649414,-74.04296112060547,Usaquen,,2.0,Carrera 15 Calle 119,Zona 1,Sin orientación,2022-05-24 08:25:00,24,1,8,Camioneta,0.0,0.0
67544,PONAL tránsito,Choque,Cerrado,2,Simple,Siniestro,,4.698801040649414,-74.04296112060547,Usaquen,,2.0,Carrera 15 Calle 119,Zona 1,Sin orientación,2022-05-24 08:25:00,24,1,8,Motocicleta,0.0,0.0
67545,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.6046223640441895,-74.09529113769531,Los Martires,,2.0,Carrera 27 Calle 6,Zona 2,Norte - sur,2022-05-24 07:37:00,24,1,7,Motocicleta,0.0,0.0
67545,NUSE,Choque,Cerrado,2,Con lesionado,Siniestro,,4.6046223640441895,-74.09529113769531,Los Martires,,2.0,Carrera 27 Calle 6,Zona 2,Norte - sur,2022-05-24 07:37:00,24,1,7,Bicicleta,0.0,0.0
67546,Waze,Choque,Cerrado,1,Simple,Siniestro,,4.626718044281006,-74.12322998046875,Puente Aranda,Av Carrera 68 SN,2.0,Carrera 68  Calle 4d,Zona 2,Sur - Norte,2022-05-24 07:59:00,24,1,7,Automóvil,0.0,0.0
67546,Waze,Choque,Cerrado,1,Simple,Siniestro,,4.626718044281006,-74.12322998046875,Puente Aranda,Av Carrera 68 SN,2.0,Carrera 68  Calle 4d,Zona 2,Sur - Norte,2022-05-24 07:59:00,24,1,7,Camión,0.0,0.0
67547,TMSA,Choque,Cerrado,2,Simple,Siniestro,,4.57708215713501,-74.08460998535156,San Cristobal,,2.0,Calle 11 sur Carrera 4,Zona 2,Oriente - Occidente,2022-05-24 08:10:00,24,1,8,Ambulancia,0.0,0.0
67547,TMSA,Choque,Cerrado,2,Simple,Siniestro,,4.57708215713501,-74.08460998535156,San Cristobal,,2.0,Calle 11 sur Carrera 4,Zona 2,Oriente - Occidente,2022-05-24 08:10:00,24,1,8,Vehiculo de servicio especial,0.0,0.0
67548,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.637129306793213,-74.09878540039062,Teusaquillo,,2.0,Carrera 50 Calle 22 A,Zona 2,Sur - Norte,2022-05-24 07:58:00,24,1,7,Automóvil,0.0,0.0
67548,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.637129306793213,-74.09878540039062,Teusaquillo,,2.0,Carrera 50 Calle 22 A,Zona 2,Sur - Norte,2022-05-24 07:58:00,24,1,7,Motocicleta,0.0,0.0
67549,PONAL tránsito,Choque,Cerrado,2,Simple,Siniestro,,4.698801040649414,-74.04296112060547,Usaquen,,2.0,Carrera 15 Calle 119,Zona 1,Sin orientación,2022-05-24 08:25:00,24,1,8,Camioneta,0.0,0.0
67549,PONAL tránsito,Choque,Cerrado,2,Simple,Siniestro,,4.698801040649414,-74.04296112060547,Usaquen,,2.0,Carrera 15 Calle 119,Zona 1,Sin orientación,2022-05-24 08:25:00,24,1,8,Motocicleta,0.0,0.0
67550,Waze,,Cerrado,1,,Varado,,4.640259265899658,-74.13504791259766,Kennedy,Av Boyacá SN,1.0,Av. Boyacá  Calle 10,Zona 2,Sur - Norte,2022-05-24 08:15:00,24,1,8,Camioneta,0.0,0.0
67551,Gogev,Choque,Cerrado,1,Simple,Siniestro,,4.630890846252441,-74.14483642578125,Kennedy,Av Américas WE,2.0,Av. Américas  Carrera 78,Zona 2,Occidente - Oriente,2022-05-24 08:26:00,24,1,8,Bus,0.0,0.0
67551,Gogev,Choque,Cerrado,1,Simple,Siniestro,,4.630890846252441,-74.14483642578125,Kennedy,Av Américas WE,2.0,Av. Américas  Carrera 78,Zona 2,Occidente - Oriente,2022-05-24 08:26:00,24,1,8,Bus,0.0,0.0
67552,NUSE,Choque,Cerrado,1,Con lesionado,Siniestro,,4.599268436431885,-74.10562133789062,Los Martires,NQS SN,2.0,NQS  Calle 1 A BIS,Zona 2,Sur - Norte,2022-05-24 08:06:00,24,1,8,Motocicleta,0.0,0.0
67552,NUSE,Choque,Cerrado,1,Con lesionado,Siniestro,,4.599268436431885,-74.10562133789062,Los Martires,NQS SN,2.0,NQS  Calle 1 A BIS,Zona 2,Sur - Norte,2022-05-24 08:06:00,24,1,8,Bicicleta,0.0,0.0
67553,NUSE,Choque,Cerrado,2,Simple,Siniestro,,4.684676647186279,-74.04776763916016,Chapinero,,2.0,Calle 100 Carrera 15,Zona 1,Occidente - Oriente,2022-05-24 08:36:00,24,1,8,Automóvil,0.0,0.0
