0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1507.4,1737.3,1824.8,1842.3,1794.0,1822.8,1818.8,2176.8,1897.6,1775.2,1519.6,1599.3,1274.8,1310.0,1062.3,1991.8,1788.0,1457.9,1128.3,1128.3
1209.3,738.2,550.9,568.4,310.5,816.2,785.2,967.1,704.8,496.1,245.7,730.7,791.5,717.4,631.3,717.9,670.5,1182.1,1177.6,1177.6
806.2,1229.6,1091.3,1108.8,801.8,1315.1,1325.6,1507.5,555.1,432.7,786.1,1235.0,180.0,222.0,424.7,1138.7,445.5,826.2,991.3,991.3
679.4,1370.7,1177.9,1195.4,1060.3,1443.2,1412.2,1594.1,813.6,691.2,872.7,1294.4,438.5,480.5,333.7,1344.9,704.0,732.5,929.3,929.3
954.1,1426.4,1399.6,1417.1,1368.8,1511.9,1531.7,1815.8,1479.5,1350.8,1094.4,1387.3,849.6,884.8,645.5,1566.6,1369.9,904.6,353.0,353.0
1831.4,512.4,1193.8,883.6,1226.6,582.5,490.9,755.7,1414.3,1205.6,873.4,422.7,1422.7,1348.6,1253.4,1057.1,1380.0,1804.2,1621.9,1621.9
2116.7,702.8,1092.5,806.2,1393.1,508.6,558.1,405.3,1699.6,1490.9,1059.2,708.0,1708.0,1633.9,1538.7,946.1,1665.3,2089.5,1907.2,1907.2
1075.3,847.4,654.6,672.1,555.9,919.9,888.9,1070.8,708.5,534.9,349.4,852.3,652.1,526.1,534.4,821.6,598.9,1026.1,1080.7,1080.7
1528.9,243.9,754.3,444.1,881.2,329.4,349.2,683.4,1123.2,914.5,545.6,422.5,1131.6,1057.5,950.9,617.6,1088.9,1501.7,1319.4,1319.4
849.9,1162.6,1167.3,1184.8,1136.5,1248.1,1267.9,1583.5,1247.1,1118.5,862.1,1048.4,617.3,652.5,411.8,1334.3,1137.5,800.4,533.7,533.7
1792.0,664.0,833.6,547.3,1028.7,384.7,533.7,411.2,1432.0,1223.3,699.0,1083.5,1374.2,1300.1,1214.0,687.2,1397.7,1764.8,1760.3,1760.3
1590.2,1517.8,1279.7,1347.0,941.1,1594.8,1563.8,1745.7,382.1,744.3,1024.3,1510.3,1055.2,1097.2,1279.4,1300.8,484.4,1610.2,1859.6,1859.6
183.4,1705.0,1512.2,1529.7,1378.0,1777.5,1746.5,1928.4,1131.3,1008.9,1207.0,1654.0,756.2,798.2,693.3,1679.2,1021.7,68.9,922.0,922.0
2422.7,1288.1,1301.8,1015.5,1672.0,976.0,1157.8,710.9,2062.7,1854.0,1329.7,1362.9,2004.9,1930.8,1844.7,1155.4,2018.6,2395.5,2391.0,2391.0
1715.2,629.7,554.6,308.0,882.9,702.2,671.2,678.7,1219.7,1011.0,622.2,1024.0,1297.4,1223.3,1137.2,432.0,1175.4,1688.0,1683.5,1683.5
1265.2,578.4,910.5,778.6,876.7,663.9,654.0,1017.9,1064.4,855.7,665.5,538.5,897.2,892.5,687.2,952.1,1030.1,1238.0,1055.7,1055.7
2012.0,672.1,911.8,625.5,1252.9,400.6,541.8,79.8,1652.0,1443.3,919.0,978.9,1594.2,1520.1,1434.0,765.4,1617.7,1984.8,1980.3,1980.3
934.9,1031.9,1206.1,1232.1,1172.3,1117.4,1113.4,1471.4,1192.2,1069.8,918.7,893.9,661.5,667.4,356.9,1373.1,1082.6,889.2,655.0,655.0
1406.6,534.4,706.3,690.4,675.5,619.9,639.7,950.0,1000.7,792.0,264.0,526.9,988.8,914.7,828.6,863.9,966.4,1379.4,1374.9,1374.9
800.5,1650.5,1581.0,1598.5,1550.2,1736.0,1732.0,1997.2,1626.3,1503.9,1275.8,1512.5,1031.0,1066.2,826.9,1748.0,1516.7,735.5,624.7,624.7
976.4,1767.8,1698.3,1715.8,1667.5,1853.3,1849.3,2114.5,1778.2,1649.5,1393.1,1629.8,1148.3,1183.5,944.2,1865.3,1668.6,911.4,664.0,664.0
